wl,f198,f207,f464,f465,f441,f442,f423,f420,f413,f406,f397,f395,f394,f393,f384,f367,f366,f354,f347,f342,f334,f328,f330,f305,f240,f212,f252,f274,f299,f284,m32m,m214,m203,m187,m175,m112,m78m,m452,m455,m440,m425,m412,m411,m409,m407,m404,m359,m357,m326,m320,m315,m308,m304,m265,m262,m250,m232,m231,m223,m215
619.7,57.82,59.164,65.368,56.697,60.421,63.983,58.056,57.697,62.407,63.612,61.261,56.969,63.231,61.154,60.188,58.915,61.863,59.103,60.379,51.701,60.224,56.012,60.335,50.827,59.853,59.764,60.46,59.53,58.698,52.481,66.165,66.514,68.947,67.882,66.565,67.746,67.537,66.344,66.431,65.243,68.029,68.707,68.354,69.963,69.284,67.664,67.688,68.995,68.523,67.474,69.762,67.643,69.492,67.295,70.433,68.085,67.088,66.348,69.402,68.167
619.89,57.806,59.169,65.362,56.7,60.434,64.026,58.077,57.705,62.437,63.582,61.265,56.972,63.24,61.143,60.188,58.911,61.859,59.123,60.378,51.695,60.205,56.026,60.335,50.812,59.847,59.776,60.437,59.546,58.703,52.469,66.18,66.54,68.965,67.874,66.59,67.771,67.54,66.362,66.442,65.263,68.06,68.696,68.382,69.938,69.271,67.685,67.703,69.006,68.543,67.516,69.778,67.63,69.493,67.299,70.429,68.095,67.073,66.316,69.441,68.162
620.08,57.807,59.169,65.382,56.688,60.437,64.025,58.071,57.691,62.408,63.578,61.276,56.996,63.251,61.138,60.147,58.918,61.887,59.107,60.369,51.691,60.189,56.044,60.324,50.817,59.851,59.772,60.415,59.554,58.7,52.482,66.189,66.573,68.947,67.862,66.601,67.716,67.537,66.378,66.425,65.263,68.035,68.68,68.395,69.936,69.284,67.673,67.684,68.996,68.546,67.492,69.782,67.577,69.497,67.291,70.404,68.129,67.061,66.325,69.413,68.193
620.27,57.765,59.144,65.404,56.654,60.462,64.025,58.078,57.718,62.397,63.554,61.29,56.998,63.238,61.109,60.178,58.933,61.865,59.092,60.376,51.684,60.205,56.022,60.299,50.831,59.849,59.803,60.41,59.566,58.703,52.515,66.189,66.57,68.94,67.903,66.577,67.711,67.551,66.361,66.412,65.238,68.028,68.704,68.385,69.961,69.306,67.698,67.675,69.012,68.544,67.54,69.79,67.551,69.513,67.295,70.385,68.117,67.07,66.307,69.437,68.191
620.46,57.756,59.132,65.419,56.642,60.453,64.026,58.085,57.716,62.422,63.566,61.301,56.975,63.234,61.121,60.175,58.937,61.839,59.09,60.38,51.666,60.207,55.988,60.305,50.816,59.877,59.81,60.415,59.563,58.711,52.523,66.174,66.564,68.966,67.902,66.543,67.721,67.544,66.353,66.432,65.255,68.028,68.695,68.425,69.929,69.312,67.671,67.653,69.008,68.533,67.564,69.757,67.546,69.523,67.3,70.388,68.091,67.074,66.295,69.406,68.205
620.65,57.748,59.145,65.407,56.626,60.428,63.997,58.087,57.7,62.413,63.568,61.32,56.986,63.21,61.103,60.158,58.949,61.83,59.1,60.372,51.665,60.185,55.956,60.328,50.818,59.883,59.823,60.398,59.576,58.717,52.547,66.209,66.549,68.957,67.929,66.549,67.754,67.53,66.382,66.401,65.274,68.023,68.678,68.413,69.944,69.308,67.679,67.663,69.006,68.532,67.541,69.749,67.564,69.511,67.328,70.341,68.122,67.089,66.319,69.376,68.215
620.84,57.761,59.172,65.421,56.617,60.405,64.007,58.08,57.717,62.436,63.537,61.305,56.998,63.217,61.084,60.161,58.97,61.832,59.092,60.39,51.655,60.2,55.954,60.354,50.836,59.88,59.834,60.38,59.586,58.713,52.552,66.222,66.563,68.968,67.938,66.574,67.757,67.501,66.369,66.386,65.264,68.009,68.665,68.365,69.962,69.306,67.656,67.648,69.015,68.51,67.553,69.73,67.58,69.49,67.339,70.344,68.099,67.098,66.281,69.391,68.246
621.03,57.787,59.138,65.435,56.591,60.434,64.006,58.08,57.733,62.414,63.53,61.252,56.991,63.231,61.082,60.137,58.965,61.857,59.099,60.379,51.639,60.216,55.949,60.349,50.844,59.877,59.832,60.371,59.583,58.676,52.552,66.214,66.587,68.948,67.92,66.552,67.769,67.494,66.384,66.368,65.241,68.018,68.706,68.335,70.012,69.293,67.696,67.635,68.986,68.521,67.535,69.74,67.555,69.47,67.345,70.326,68.101,67.095,66.252,69.391,68.234
621.22,57.796,59.141,65.425,56.581,60.458,64.008,58.065,57.732,62.395,63.538,61.243,56.992,63.251,61.06,60.141,58.987,61.896,59.08,60.372,51.612,60.181,55.981,60.313,50.834,59.847,59.816,60.363,59.591,58.67,52.582,66.21,66.597,68.955,67.913,66.543,67.762,67.507,66.377,66.367,65.206,68.02,68.74,68.362,70.045,69.296,67.705,67.658,68.994,68.505,67.533,69.722,67.532,69.476,67.302,70.308,68.097,67.128,66.23,69.411,68.209
621.41,57.797,59.121,65.429,56.584,60.45,64.016,58.049,57.768,62.404,63.554,61.246,56.982,63.23,61.072,60.151,58.995,61.899,59.083,60.36,51.613,60.14,55.987,60.313,50.858,59.873,59.817,60.349,59.584,58.641,52.586,66.212,66.581,68.945,67.907,66.538,67.766,67.54,66.425,66.373,65.176,68.023,68.743,68.352,70.046,69.267,67.709,67.662,69.004,68.525,67.506,69.739,67.53,69.477,67.333,70.285,68.095,67.163,66.237,69.403,68.206
